ProcessId,Finish Time,Turnaround Time,Normalized Turnaround Time
0,3,3,1.00
1,7,7,1.75
2,14,14,2.00
3,22,22,2.75
4,31,31,3.44
5,40,40,4.44
6,50,50,5.00
7,64,64,4.57
8,81,81,4.76
9,98,98,5.76
10,118,118,5.90
11,119,116,116.00
12,120,117,117.00
13,122,119,59.50
14,129,126,18.00
15,138,135,15.00
16,139,133,133.00
17,142,136,45.33
18,145,139,46.33
19,149,143,35.75
20,155,149,24.83
21,164,157,17.44
22,168,157,39.25
23,173,162,32.40
24,175,162,81.00
25,179,166,41.50
26,184,171,34.20
27,191,175,25.00
28,199,183,22.88
29,209,193,19.30
30,216,198,28.29
31,217,197,197.00
32,242,221,8.84
33,249,225,32.14

Average Turnaround Time: 123.76

Average Normalized Turnaround Time: 35.85

Average Latency: 116.44

Processor Utilization: 1.00
